stationId,stationName,stationLatitude,stationLongitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-738,1207. 마천중앙시장,37.49975586,127.15250397,9.0,5.0,14.0
ST-541,1208. 풍납현대아파트쉼터,37.52974701,127.1199646,4.0,1.0,5.0
ST-542,1209. 잠실나루역 (2번 출구 쪽),37.52045059,127.10420227,6.0,0.0,6.0
ST-891,1210. 롯데월드타워(잠실역2번출구 쪽),37.51312637,127.10095978,25.0,1.0,26.0
ST-839,1212. 송파역 2번 출구앞,37.49941254,127.11286926,3.0,5.0,8.0
ST-543,1213. 백토공원 앞,37.50831985,127.13321686,0.0,0.0,0.0
ST-740,1214. 오금역 7번 출구 인근,37.50259399,127.1276474,13.0,1.0,14.0
ST-544,1215. 올림픽공원역 1번출구 앞,37.51657104,127.13153839,7.0,1.0,8.0
ST-545,1217. 송파파인타운 7단지,37.47930527,127.12979889,0.0,1.0,1.0
ST-892,1218. 방이역 4번출구,37.50896835,127.12583923,2.0,0.0,2.0
ST-546,1220. 잠실근린공원,37.50569153,127.08403778,6.0,3.0,9.0
ST-933,1221. 삼전역 4번출구,37.50419998,127.08753204,8.0,1.0,9.0
ST-547,1222. 잠실새내역 5번 출구 뒤,37.51198196,127.08505249,7.0,0.0,7.0
ST-548,1224. 아시아지하보도 2번 출구,37.51216888,127.07893372,1.0,3.0,4.0
ST-894,1226. 잠실4동 주민센터 옆,37.52007675,127.11236572,3.0,1.0,4.0
ST-895,1227. 거여역 8번출구 뒤,37.49312592,127.14382172,18.0,0.0,18.0
ST-896,1228. 마천사거리 ,37.49769974,127.14620209,7.0,2.0,9.0
ST-549,1229. 송파체육문화회관 앞,37.49068832,127.14312744,2.0,0.0,2.0
ST-897,1230. 송파중학교 정문,37.49567032,127.13059235,0.0,0.0,0.0
ST-840,1231. 잠실역 6번출구,37.51408768,127.09902954,18.0,0.0,18.0
ST-550,1232. 잠실주공 521동 건너편,37.51184082,127.09568787,11.0,0.0,11.0
ST-551,1233. 잠실3거리(갤러리아팰리스),37.51050949,127.09336853,2.0,0.0,2.0
ST-553,1235. 잠실트리지움310동 옆,37.50887299,127.08716583,3.0,1.0,4.0
ST-899,1239. 문정 법조단지3,37.48084259,127.11801147,8.0,1.0,9.0
ST-900,1240. 문정 법조단지4,37.48057556,127.11856842,1.0,0.0,1.0
ST-901,1241. 문정 법조단지5,37.48123932,127.11979675,2.0,4.0,6.0
ST-902,1242. 문정 법조단지6,37.48163223,127.11916351,0.0,1.0,1.0
ST-903,1243. 문정 법조단지7,37.4845314,127.12016296,8.0,0.0,8.0
ST-904,1244. 문정 법조단지8,37.48153687,127.12212372,0.0,0.0,0.0
ST-905,1245. 문정 법조단지9,37.47946548,127.12532806,4.0,0.0,4.0
ST-906,1246. 문정 법조단지10,37.47750854,127.12632751,14.0,1.0,15.0
ST-907,1247. 문정 법조단지11,37.4788208,127.12351227,0.0,0.0,0.0
ST-908,1248. 방이초등학교,37.51396179,127.12167358,0.0,0.0,0.0
ST-981,1250.문정2동 주민센터,37.48987198,127.11083984,1.0,0.0,1.0
ST-1070,1251. 석촌역 2번출구,37.50593185,127.10774994,4.0,2.0,6.0
ST-1072,1253. 오금역 3번 출구 뒤,37.50165176,127.12818146,5.0,0.0,5.0
ST-1075,1256. 문정현대아파트 교차로,37.49113083,127.12580872,0.0,0.0,0.0
ST-1076,1257. 가락시장역 사거리,37.49209976,127.11775208,4.0,1.0,5.0
ST-1077,1258. 가락미륭아파트 앞,37.49319839,127.1289978,0.0,0.0,0.0
ST-1078,1259. 방이역 1번출구,37.50898361,127.12659454,3.0,1.0,4.0
ST-1079,1260. 방이동 한양3차아파트 옆,37.50630188,127.12139893,0.0,1.0,1.0
ST-1081,1262. 송파여성문화회관 앞,37.50580215,127.10971832,0.0,0.0,0.0
ST-1082,1263. 장지공영차고지,37.48054123,127.1370163,7.0,3.0,10.0
ST-1083,1264. 천호역 10번 출구 앞,37.53858185,127.12280273,22.0,0.0,22.0
ST-1084,1265. 문정동 근린공원,37.48598862,127.12476349,0.0,1.0,1.0
ST-1085,1266. 문정동 글샘 공원,37.47880936,127.12000275,1.0,1.0,2.0
ST-1086,1267. 올림픽공원 남2문 앞,37.51424026,127.12306976,0.0,1.0,1.0
ST-1087,1268. 몽촌토성역 1번출구 옆,37.51728821,127.11419678,0.0,0.0,0.0
ST-1088,1269. 리센츠아파트 ,37.51194382,127.09121704,1.0,0.0,1.0
ST-1089,1271. 송파도서관,37.49998474,127.13539124,7.0,0.0,7.0
ST-1092,1274. 영파여고 앞,37.53284836,127.12104797,3.0,2.0,5.0
ST-1367,1275. 거여초등학교 옆,37.50458908,127.13936615,8.0,1.0,9.0
ST-1408,1277. 성내7교,37.50562668,127.1364212,12.0,5.0,17.0
ST-1409,1278. 송파구청 교차로,37.51579666,127.10681915,6.0,0.0,6.0
ST-1410,1279. 마천금호어울림 1차아파트 건너편,37.49751663,127.15467834,5.0,0.0,5.0
ST-1411,1280. 송파파크데일 2단지입구 앞 주차장,37.49565887,127.15717316,8.0,0.0,8.0
ST-1413,1282. 송파소방서 맞은편(성내4교),37.49987411,127.14147949,6.0,10.0,16.0
ST-1414,1283. 오금공원 사거리,37.50541306,127.13169098,1.0,0.0,1.0
ST-1416,1285. 위례별 유치원 뒤,37.4774704,127.14459229,1.0,1.0,2.0
ST-1417,1286. 위례중앙푸르지오 1단지 앞,37.47437668,127.14067078,0.0,4.0,4.0
ST-1418,1287. 위례아이파크 101동 맞은편,37.47746658,127.14151001,2.0,0.0,2.0
ST-1419,1288. 문정중교 사거리,37.48799896,127.13108826,4.0,0.0,4.0
ST-1422,1289. 풍납토성 서성벽터B,37.53147125,127.11109161,4.0,4.0,8.0
ST-1579,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,37.47458267,127.13754272,11.0,6.0,17.0
ST-1580,1291. 서울체육고등학교 앞,37.52193832,127.13186646,0.0,0.0,0.0
ST-1582,1293. 석촌호수 서호 사거리,37.50656128,127.09655762,10.0,0.0,10.0
ST-1584,1295. 잠실역 8번출구,37.51396179,127.10030365,14.0,1.0,15.0
ST-1585,1296. 석촌호수교차로 (송파나루근린공원 앞),37.50867844,127.1034317,3.0,0.0,3.0
ST-1586,1297. 석촌호수교차로(동호 팔각정 앞),37.50920105,127.10411835,1.0,0.0,1.0
ST-1588,1299. 송파소방서 (방이119안전센터),37.51987839,127.13671112,4.0,0.0,4.0
ST-1589,1300. 오륜사거리,37.50693893,127.13922119,0.0,0.0,0.0
ST-825,1302. 한성대입구역6번출구 뒤,37.58876419,127.00630951,4.0,0.0,4.0
ST-931,1303. 돈암초교 입구,37.59169388,127.01249695,12.0,2.0,14.0
ST-826,1304. 만해공원,37.59440231,126.99230957,1.0,4.0,5.0
ST-947,1305. 성북구청,37.58932877,127.01643372,9.0,7.0,16.0
ST-842,1306. 한성대입구역2번출구,37.58844757,127.00670624,1.0,0.0,1.0
ST-827,1308. 안암로터리 버스정류장 앞,37.58259201,127.02897644,4.0,0.0,4.0
ST-559,1314. 정릉꿈에그린1단지 201동 앞,37.60243988,127.01168823,7.0,0.0,7.0
ST-560,1315. 고려사대부속중고 정문,37.60776138,127.00328064,0.0,0.0,0.0
ST-562,1316. 고려사대부속중고 건너편 ,37.60726166,127.00283813,2.0,0.0,2.0
ST-563,1318. 길음역 3번출구 뒤,37.60308456,127.0247879,11.0,9.0,20.0
ST-564,1319. 종암사거리 분수대,37.6030426,127.03327179,28.0,4.0,32.0
ST-655,1321. 국민은행 종암동지점 앞,37.59328842,127.03666687,24.0,5.0,29.0
ST-565,1322. 래미안라센트아파트 103동 앞,37.59806824,127.03927612,29.0,9.0,38.0
ST-567,1323. 월곡역 입구 육교 밑,37.60043335,127.04020691,9.0,6.0,15.0
